"sse","a","coeficiente_B","volatilidade","i","tempo","setor","b_volatilidade"
0.00581834117630385,1.0281578624185,1.00314980091428,1.02053197949511,1,2008,"Bens Indls / Mat Transporte",1.02374645205718
0.0122748385584646,1.03380079516116,0.990361317733037,1.03292072530493,2,2008,"Cons N Básico / Alimentos Processados",1.02296473062676
0.0944308891881423,1.13658247309294,0.914617237992513,1.10277192959094,4,2008,"Cons N Cíclico / Fumo",1.00861421637814
0.0650058564114133,1.08543394979709,0.69567452845372,1.36552898848696,5,2008,"Cons N Cíclico / Pr Pessoal Limp",0.949963735155549
0.0165477982288428,1.03546759439704,0.923796175931291,1.07148720273062,6,2008,"Const e Transp / Constr e Engenh",0.989835780441863
0.0181402478775938,1.01412663423158,1.03920597425387,0.925772764738051,7,2008,"Consumo Cíclico / Tecid Vest Calç",0.962068587917308
0.0129952604623517,1.04260713152978,1.01104772050709,1.03322364885308,8,2008,"Utilidade Públ / Água Saneamento",1.04463841494692
0.0199269694858814,1.06688419565461,1.01587707968851,1.03544143093615,9,2009,"Bens Indls / Mat Transporte",1.05188121704791
0.0541827009662542,1.06420974837648,0.721305522298522,1.30693036904807,10,2009,"Cons N Básico / Alimentos Processados",0.942696092454017
0.0624617353430477,1.14012827360795,1.27188284780884,0.846242677501385,12,2009,"Cons N Cíclico / Fumo",1.07632154659784
0.0289098153862102,1.07060349490223,0.882927398108991,1.13487596089828,13,2009,"Cons N Cíclico / Pr Pessoal Limp",1.00201307933236
0.0134455303991332,1.03530322842203,0.822180348286055,1.17175308025841,14,2009,"Const e Transp / Constr e Engenh",0.963392355632117
0.00662789164024191,1.05000987713921,1.16601045899087,0.832594058482347,15,2009,"Consumo Cíclico / Tecid Vest Calç",0.970813380284069
0.00814609279643165,1.03795164704518,0.778305864803583,1.14740628193056,16,2009,"Utilidade Públ / Água Saneamento",0.893033038539031
0.0460377096616709,1.1077154894009,1.1815833153882,0.912236816905008,17,2010,"Bens Indls / Mat Transporte",1.0778838025378
0.0468079836932267,1.07211370043995,0.749775514007452,1.29885403766449,18,2010,"Cons N Básico / Alimentos Processados",0.973848953710546
0.0438155418155188,1.12640244627135,0.954107248950024,1.07007398399247,19,2010,"Cons N Cíclico / Bebidas",1.02096534504005
0.0531025032887758,1.11114525496972,0.990146983764755,1.05239233633133,20,2010,"Cons N Cíclico / Fumo",1.04202309755561
0.0408059259304695,1.07436660788614,0.736004713269571,1.2697065537858,21,2010,"Cons N Cíclico / Pr Pessoal Limp",0.934510008055615
0.04637710584737,1.0758110553176,0.776933110999289,1.25774529920736,22,2010,"Const e Transp / Constr e Engenh",0.977183968157907
0.0248352418968517,1.09261913594685,0.979621142337489,1.0514941049,24,2010,"Utilidade Públ / Água Saneamento",1.03006585620327
0.0363281087562845,1.0657185623089,0.965265875930175,1.05561208761907,25,2011,"Bens Indls / Mat Transporte",1.0189463263981
0.0440415537997113,1.05137223619304,1.0097080200138,1.00550126196149,26,2011,"Cons N Básico / Alimentos Processados",1.01526268833651
0.0601915855692173,1.12659788984626,0.976873803584543,1.01341756816474,27,2011,"Cons N Cíclico / Bebidas",0.989981074432491
0.0266809302533819,1.01848375323684,0.85260197126568,1.06664728094516,28,2011,"Cons N Cíclico / Fumo",0.909425574379024
0.00614935512110403,1.04689939959517,0.823519271926956,1.1738102076862,29,2011,"Cons N Cíclico / Pr Pessoal Limp",0.966655327614168
0.0609371497031637,1.08109000985291,0.73091534955865,1.32100095864352,30,2011,"Const e Transp / Constr e Engenh",0.965539877454239
0.0278302136893018,1.05055971148026,0.838485650634298,1.15217293637912,31,2011,"Consumo Cíclico / Tecid Vest Calç",0.966080474203076
0.0266588582524577,1.08958289343503,0.842858698503814,1.19042633511942,32,2011,"Utilidade Públ / Água Saneamento",1.00336119148342
0.00921561541879781,1.02665789057807,0.858662674427697,1.10656230353259,33,2012,"Bens Indls / Mat Transporte",0.95016374697217
0.0250272908848475,1.05973550491754,0.789094238949443,1.23690831276066,34,2012,"Cons N Básico / Alimentos Processados",0.976037223708115
0.00847996504121254,1.0589702722959,1.1460864096439,0.906723846113853,35,2012,"Cons N Cíclico / Bebidas",1.03918387733113
0.060349760375563,1.08380679509215,0.77564132944766,1.23620661142095,36,2012,"Cons N Cíclico / Fumo",0.958852939554531
0.00817765736792547,1.04446784333508,0.824895427506805,1.14341530179856,37,2012,"Cons N Cíclico / Pr Pessoal Limp",0.943198054194947
0.0353737978655645,1.07119462638473,0.688595753846449,1.35879275166745,38,2012,"Const e Transp / Constr e Engenh",0.935658919155538
0.0635658429771296,1.07257181469392,0.856062740165976,1.15021990400268,39,2012,"Consumo Cíclico / Tecid Vest Calç",0.984660402813978
0.029774037666644,1.05498221266621,1.05677871186897,0.9588340146454,40,2012,"Utilidade Públ / Água Saneamento",1.01327537489312
0.038097946323769,1.06004823162631,0.877413666820439,1.13695429815033,41,2013,"Bens Indls / Mat Transporte",0.99757923974734
0.00266859620485539,1.0310423460366,0.886449816497434,1.1145722190665,42,2013,"Cons N Básico / Alimentos Processados",0.988012339064632
0.041815163410882,1.09702236386312,0.931702066439147,1.10812433459979,43,2013,"Cons N Cíclico / Bebidas",1.03244173241813
0.016710650778763,1.04651390840287,0.80172870669133,1.16932455587892,44,2013,"Cons N Cíclico / Fumo",0.937481063887222
0.0252952974318008,1.02459273723478,0.727198739756451,1.23202718353928,45,2013,"Cons N Cíclico / Pr Pessoal Limp",0.895928615215451
0.0873621191334112,1.095481807352,0.753903835733848,1.3155507014838,46,2013,"Const e Transp / Constr e Engenh",0.991798719950989
0.0304813381593174,1.05462064453679,0.934680584970833,1.06830106527626,47,2013,"Consumo Cíclico / Tecid Vest Calç",0.998520264617383
0.0270271103593922,1.04352427886127,0.896712363552929,1.08932264887779,48,2013,"Utilidade Públ / Água Saneamento",0.976809087146943
0.0292340719664039,1.05531522396399,0.743346787610484,1.24724685691809,49,2014,"Bens Indls / Mat Transporte",0.927136944447332
0.00952100286770597,1.04253384091899,0.906016140281346,1.10090210783044,50,2014,"Cons N Básico / Alimentos Processados",0.997435078564133
0.018548506999576,1.07684154852348,0.79903436644781,1.19668223171239,51,2014,"Cons N Cíclico / Bebidas",0.956190228855657
0.0211409529926526,1.04180078581297,0.758891743651052,1.22190244404826,52,2014,"Cons N Cíclico / Fumo",0.927291676335264
0.0174456440099601,1.03100710236266,0.742671565672135,1.23079597841621,53,2014,"Cons N Cíclico / Pr Pessoal Limp",0.914077176313332
0.0305095453569347,1.05942674902167,0.790678747796381,1.21279258414757,55,2014,"Consumo Cíclico / Tecid Vest Calç",0.958929321770537
0.0386964277351497,1.07996523748232,0.817390722698901,1.20534797807109,56,2014,"Utilidade Públ / Água Saneamento",0.985240254899183
